imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.050998366872458865, -0.017586725961234992, -0.059833020461377145, -0.002458507653674915, 0.09792643084570131, -0.025105659753378383, -1.4088005234753018, -0.6503954231033028, 42202000000, 
-0.0519371934975438, -0.03498881415794451, -0.05382627439457912, -0.0025406091920996783, 0.09871854343585021, -0.02573588612306289, -1.3997399413786245, -0.6546602383638057, 42297000000, 
-0.058974728454499435, 0.017237847438864185, -0.05768519378032579, -0.002123402844068439, 0.09800488810919188, -0.021666295273993434, -1.3906692784802732, -0.6589574079225012, 42397000000, 
-0.07077272778470275, 0.0011811764090847096, -0.06753353920327297, -0.002106529079377651, 0.09802056361235831, -0.021490685237317515, -1.3816576356457815, -0.6632540282474846, 42497000000, 
-0.05248784869482239, 0.0010480934891920952, -0.05612742432836537, -0.0020864347578269707, 0.09792493034093973, -0.021306471708100766, -1.3726440991160629, -0.6675754721217291, 42597000000, 
-0.03865040929821381, -0.028981866542923222, -0.04288686980312559, -0.002235220183817892, 0.09867012069511054, -0.022653465588885764, -1.3636642550060107, -0.6719046111705879, 42697000000, 
-0.058977336246633406, -0.0339471199679629, -0.05500985088907169, -0.0022581739730110923, 0.0991251729920758, -0.0227810343714771, -1.35464003320844, -0.6762791717056559, 42797000000, 
-0.04892014118933783, -0.013172976748578879, -0.05037805616627683, -0.0020926924859915796, 0.09868941511053841, -0.02120483218638626, -1.34556941543146, -0.68070148267483, 42897000000, 
-0.0529683312661684, -0.005915045489968608, -0.05230336765287163, -0.001956226097459743, 0.0985245515630239, -0.019855214425496676, -1.3365373876669855, -0.6851299717833614, 42992000000, 
-0.06302875241699143, -0.021876726070915314, -0.06037026468284373, -0.001953716951104033, 0.09863783407086912, -0.019806973353655864, -1.3275351328113938, -0.6895672841086516, 43092000000, 
